Sex,Fur,Eyes,Eyewear,Top,Neck,Head,Mouth,Nose,Ears,Expression,Background,Music,Dance
Female,Bully,Heart (Red),,,Dog Tags,Afro (Base),,Steel Stud,,Blank,FTW (F*ck The War),FLUF You Up,Side Nod
Male,Smoothie,Brown,,,Dog Tags,Birthday Hat,Cigarette,Steel Stud,Gold Rings & Studs,Mouth Open (Right),Tiki,Back in the Burrow,Round
Male,Holographic,Cat (Brown),,Puffer Jacket,,Mullet (Orange),Cigarette,Steel Ring,Steel Rings,Mouth Open (Right) + Wink,ASTO Discovery Portal,Higher,Groove
Male,Orange,Scribble,,,Bowtie (Black),,,Bone,Gold Rings,Blank,Beach,I Like to Party,Round
Male,Parrot,Brown,Aviators,Puffer Vest,Headphones,Pirate Hat,,,FLUF Tag,Blank,Dancing in the Shroomlight,Shadows,Groove
Male,Marshmellow,Portal,,Voxel Rabbit Singlet,,Tennis Hat,Medical Mask,,Steel Rings,Blank,Markets,Run Rabbit,Side Nod
Male,Smoothie,Blue,Sunglasses,,FLUF Logo Chain,Tuft (Base),Cigarette,Bull Ring,Gold Rings,Mouth Open (Right),Heaven,Floating or Flying,Groove
Male,Sky,Blast,,,Bowtie (Gold),FLUF Cap,Whistle,,Steel Rings,Mouth Open (Middle),Tiki,Beyond the Gates,Side Nod
Male,Peppermint,Green,Bug Eye Glasses,,Bowtie (Gold),,Party Horn,Clown Nose,Red Ribbon,Anger,Markets,FLUF You Up,Bob
Male,Darkness,Hypnotic,,Voxel Rabbit Singlet,Dog Tags,Cowboy Hat,Party Horn,,,Mouth Open (Left),Swamp,Rabbiton,Round
Female,Tiger,Red,,Voxel Rabbit Singlet,Greenstone,Pirate Hat,,Gold Ring,,Blank,Heaven,Rabbiton,Round
Male,Grey,Heart (Red),,Gold Jacket,,Mohawk (Base),Pacifier,,,Mouth Open (Middle) + Wink,Heaven,Run Rabbit,Groove
Male,Retro,Yellow,,Yellow Rabbit Singlet,Lei,,,Gold Ring,Gold Rings & Studs,Blank,ASTO Discovery Portal,NFT (Instrumental),Subtle Nod
Male,Peppermint,Blast,,High Vis Vest,Tie,Mullet (Base),,Steel Ring,Diamond Studs,Blank,Garden,Eating Carrots in the Dark,Subtle Nod
Male,Peppermint,Red,,Pink Jacket,,Tennis Hat,Medical Mask,,,Blank,Markets,Hop On By,Bob
Male,Ice Cream,Brown,Star Glasses,Red Balloon Singlet,VIP lanyard,Mohawk (Base),,,,Blank,Mansion,Coffee and Carrots,Big Nod
Female,Grey,Green (Dilated),Star Glasses,Tie Dye Singlet,,Tuft (Black),Mooncrust Pizza,Bone,Red Ribbon,Mouth Open (Middle) + Wink,Heaven,I Like to Party,Bob
Male,Tiger,Hypnotic,,,Collar (Pink),Bandana,Pacifier,,Steel Studs,Mouth Open (Middle),Pass,Disco Rabbit,Subtle Nod
Male,Grey,Purple,,Digital Camo Singlet,Gold Dollar Chain,Holographic Cap,Party Horn,,Bit Ear,Anger,Markets,Eating Carrots in the Dark,Groove
Female,Darkness,Inverted (Purple),,White Singlet,Collar (Black),Beanie,Lip Piercings,Steel Stud,,Smile,Tiki,Beyond the Gates,Groove
Male,Black & White,Fire,Eye Patch,,Collar (Black),,Cigarette,Bull Ring,,Mouth Open (Right),Markets,Back in the Burrow,Round
Female,Sandy,Red,,Sign My Carrot Singlet,Bowtie (Gold),Flower Crown,,,,Smile,Heaven,FLUF You Up,Round
Male,Darkness,Fire,,Yellow Rabbit Singlet,Bowtie (Red),Beanie,Joint,Bone,,Mouth Open (Right) + Wink,Beach,Follow You,Big Nod
Male,Winter,Brown,Neon Glasses,Digital Camo Singlet,VIP lanyard,Beanie,Pipe,Bull Ring,,Mouth Open (Right) + Wink,Mystic Valley,I Love FLUF,Bob
Male,Darkness,Glowing White,Round Glasses,,Clock Necklace,Pirate Hat,Lollipop,Bull Ring,FLUF Tag,Anger,Lambo,Messiah,Subtle Nod
Male,Sandy,Blue,,Kimono,Bone Necklace,Mohawk (Base),,Steel Ring,,Sad,Beach,Space Fluffle,Side Nod
Male,Honeycomb,Blue,Speed Glasses,,FLUF Logo Chain,,Lip Piercings,Steel Stud,Red Ribbon,Smile,Tiki,Hop On By,Subtle Nod
Female,Cheetah,Dollars,,Sign My Carrot Singlet,,,Whistle,Bone,Bandaged,Mouth Open (Middle),Gallery,Dubhop,Big Nod
Male,Darkness,Demon,Round Glasses,Holographic Jacket,,Afro (Black),,,Gold Studs,Grin,Garden,Hop With Me,Side To Side
Female,Bully,Blue,,Boob Tube,,Afro (Base),Pipe,Steel Ring,,Mouth Open (Right),Gallery,Hop With Me,Side Nod
Female,Raspberry Ripple,Blue,Aviators,,Collar (Black),Sun Visor,Lipstick,,Gold Rings,Blank,Mansion,Floating or Flying,Round
Male,Sandy,Green,Deal With It Glasses,Sign My Carrot Singlet,Bowtie (Red),Mohawk (Red),Lollipop,Gold Ring,,Mouth Open (Left),Beach,Coffee and Carrots,Subtle Nod
Male,Zebra,Brown,,,Glowstick Necklace,Halo,,Gold Ring,Steel Rings,Blank,Pass,Back in the Burrow,Subtle Nod
Male,Zombie (Red),Zombie,,,POTA Lanyard,,Cigar,Clown Nose,,Mouth Open (Right) + Wink,The Front,Messiah,Bob
Male,Red,Red (Dilated),,Flannel Jacket,,Holographic Cap,Pipe,Steel Ring,FLUF Tag,Mouth Open (Right),Tiki,Hop With Me,Side To Side
Female,Winter,Cat (Brown),,,Bowtie (Gold),FLUF Cap,Party Horn,Bone,Diamond Cross Earring,Mouth Open (Left),Backalley,Floating or Flying,Subtle Nod
Male,Tiger,Scribble,,Yellow Rabbit Singlet,Peace Necklace,Afro (Base),Joint,,Steel Rings,Mouth Open (Right),Gallery,Eating Carrots in the Dark,Side To Side
Male,Sandy,Blast,,Dress,Collar (Pink),,Medical Mask,,Gold Studs,Blank,FLUF Haus Miami 2021,Let It Go,Subtle Nod
Female,Black & White,Portal,,,Collar (Pink),FLUF Cap,Cigarette,Steel Ring,,Mouth Open (Right),Mansion,I Like to Party,Bob
Male,Blossom,Red (Dilated),,Tie Dye Singlet,,Tennis Hat,Cigarette,Steel Ring,FLUF Tag,Mouth Open (Right),Backalley,Reggae Rabbits,Side Nod
Female,Darkness,Dollars,,,Bowtie (Black),Propeller Hat,Tongue Out,Steel Stud,,Smile,Swamp,Coffee and Carrots,Side Nod
Male,Sandy,Green,,Flannel Jacket,,Mohawk (Red),Pacifier,,Gold Studs,Mouth Open (Middle),FTW (F*ck The War),Rabbiton,Bob
Female,Peppermint,Heart (Red),Fake Eyelashes,Leather Vest,Bone Necklace,,Medical Mask,,Steel Studs,Blank,Pass,Hop With Me,Side To Side
Female,Grey,Reptile (Cream),Designer Glasses,White Singlet,,Cowboy Hat,,,,Grin,Spaceship,Coffee and Carrots,Side Nod
Male,Grey,Heart (Red),,Black FLUF Singlet,Lei,Tuft (Blonde),Lollipop,Steel Ring,Gold Studs,Anger,Beach,Beyond the Gates,Round
Male,Candy Floss,Red,,,Bone Necklace,Propeller Hat,,Gold Ring,Steel Rings,Blank + Wink,Beach,Floating or Flying,Big Nod
Male,Parrot,Green,Sunglasses,Sign My Carrot Singlet,,,Whistle,Diamond Stud,Steel Studs,Mouth Open (Middle),Mansion,Hop With Me,Round
Female,Brown,Mandala,,Voxel Rabbit Singlet,Greenstone,Sombrero,Cigarette,,FLUF Tag,Mouth Open (Right),Beach,FLUF You Up,Round
Male,Darkness,Demon,,,Bowtie (Black),FLUF Cap,Joint,,Steel Studs,Mouth Open (Right),Mansion,Electric Carrots,Big Nod
Male,Black & White,Blue,Aviators,,Bowtie (Black),Mullet (Orange),Carrot,Bull Ring,Steel Studs,Mouth Open (Right),Mansion,Ear Wobbler,Bob
Male,Sandy,Green (Dilated),,,Glowstick Necklace,,Lip Piercings,Diamond Stud,FLUF Tag,Smile,Spaceship,I Like to Party,Round
Female,Hawk,Red,,Leather Vest,Collar (Black),FLUF Cap,Cigarette,,,Mouth Open (Right) + Wink,Forest,How Could You,Side To Side
Male,Brown,Green,,Flannel Jacket,Bowtie (Black),,Lip Piercings,Bull Ring,Gold Rings,Smile + Wink,Mansion,Desert Digging,Subtle Nod
Male,Brown,Purple,,Tie Dye Singlet,,Sombrero,Pipe,,Bandaged,Mouth Open (Right),Heaven,Electric Carrots,Groove
Female,Orange,Yellow,Fake Eyelashes,Boob Tube,Gold Chain,Mohawk (Base),Cigar,Gold Stud,,Mouth Open (Right),Mystic Valley,Floating or Flying,Side Nod
Male,Peppermint,Brown,Deal With It Glasses,,Glowstick Necklace,Tuft (Base),Pipe,Steel Stud,Steel Studs,Mouth Open (Right),Pass,Desert Digging,Side To Side
Male,Pheonix,Green,Bug Eye Glasses,,Collar (Black),Tuft (Blonde),Party Horn,,Gold Rings & Studs,Anger,Gallery,What the FLUF,Groove
Male,Retro,Red,Cyberpunk Glasses,Leather Vest,Bowtie (Red),,Medical Mask,,Steel Rings,Blank,Mansion,Follow You,Bob
Female,Brown,Green,Bug Eye Glasses,Dress,Bowtie (Red),Bandana,Lipstick,Steel Ring,Gold Studs,Sad,Beach,Hop On By,Groove
Male,Grey,Green (Dilated),,Red Balloon Singlet,FLUF Logo Chain,Tennis Hat,,Bull Ring,,Grin,Beach,Desert Digging,Subtle Nod
Male,Peppermint,Blue,,,Dog Tags,Bandana,Mooncrust Pizza,Bone,Gold Rings,Mouth Open (Middle),Lambo,What the FLUF,Groove
Male,Zebra,Green,Heart Glasses,,Bowtie (Gold),,Joint,Bone,Steel Rings & Studs,Mouth Open (Right),Swamp,Eating Carrots in the Dark,Round
Male,Red,Fire,,,Dog Tags,Afro (Ginger),,Bull Ring,,Smile,Heaven,What the FLUF,Big Nod
Male,Black & White,Green,3D Glasses,White Singlet,Bowtie (Black),Cowboy Hat,,Clown Nose,Steel Rings,Blank,Lambo,Wouldn't It Be,Big Nod
Male,Winter,Green,Heart Glasses,,Bowtie (Gold),Mohawk (Red),Carrot,Steel Stud,Gold Bows,Mouth Open (Right),Heaven,Ear Wobbler,Groove
Male,Red,Brown,,Tie Dye Singlet,Clock Necklace,Tennis Hat,Pipe,Bone,,Mouth Open (Right),Dunes,Space Fluffle,Big Nod
Male,Grey,Purple Rings,,,,Tuft (Base),,Steel Ring,Red Ribbon,Anger,Gallery,Disco Rabbit,Side To Side
Female,Parrot,Brown,,,,Mullet (Orange),Cigarette,,Gold Studs,Mouth Open (Right),Dancing in the Shroomlight,Stardust,Side Nod
Female,Red,Glowing Red,Aviators,Yellow Rabbit Singlet,Bowtie (Red),Birthday Hat,Whistle,Gold Ring,Gold Rings,Mouth Open (Middle),Markets,What the FLUF,Subtle Nod
Male,Black & White,Scribble,Star Glasses,,Dog Tags,,,Steel Ring,Steel Studs,Blank,Heaven,Reggae Rabbits,Subtle Nod
Male,Winter,Reptile (Cream),Shutter Glasses,Flannel Jacket,Clock Necklace,,,Gold Stud,,Sad,Tiki,Floating or Flying,Side To Side
Female,Holographic,Brown,Neon Glasses,Boob Tube,Gold Chain,Afro (Base),,,,Sad,Lambo,Eating Carrots in the Dark,Big Nod
Male,Grey,Scribble,,,Collar (Black),Army Helmet,,,Steel Studs,Blank,Mansion,Disco Rabbit,Groove
Female,Moody Blue,Red (Dilated),,Boob Tube,Clock Necklace,,Pipe,Steel Ring,Steel Studs,Mouth Open (Right),Mystic Valley,FLUF You Up,Side Nod
Male,Brown,Brown,Aviators,Puffer Vest,,Mohawk (Base),Cigar,Bull Ring,Santa Hat,Mouth Open (Right),ASTO Discovery Portal,What the FLUF,Groove
Male,Candy Floss,Brown,Neon Glasses,,,,,,Steel Rings & Studs,Smile,Mansion,What the FLUF,Subtle Nod
Female,Grey,Scribble,,Boob Tube,,Mohawk (Base),,Steel Ring,Diamond Cross Earring,Grin,Beach,Beyond the Gates,Round
Female,Brown,Green,,Boob Tube,Collar (Black),Flower Crown,Joint,Steel Ring,Steel Rings & Studs,Mouth Open (Right) + Wink,Heaven,Eating Carrots in the Dark,Side To Side
Male,Brown,Red,,,Bowtie (Black),Tuft (Base),Pacifier,Bloody,,Mouth Open (Middle),Pass,Electric Carrots,Big Nod
Male,Zebra,Dollars,,Leather Vest,Collar (Black),Beanie,Lollipop,Gold Stud,Bit Ear,Mouth Open (Left),Mansion,FLUF You Up,Groove
Female,Winter,Blue,,,Collar (Black),Army Helmet,,,Steel Rings,Blank,Garden,Run Rabbit,Subtle Nod
Female,Zombie (Green),Inverted,,,,Army Helmet,Joint,Gold Ring,Gold Studs,Mouth Open (Right),Gallery,Electric Carrots,Side Nod
Female,Candy Floss,Blue,Speed Glasses,,,Tuft (Base),Carrot,,Steel Studs,Mouth Open (Right),Garden,Shadows,Round
Male,Black & White,Red,Shutter Glasses,Digital Camo Singlet,Gold Dollar Chain,,Pacifier,Gold Ring,,Mouth Open (Middle) + Wink,Lambo,Latin Fiesta,Groove
Male,Darkness,Heart (Red),,,Bone Necklace,Crown,Joint,Gold Ring,,Mouth Open (Right) + Wink,Lambo,Latin Fiesta,Side Nod
Male,Marshmellow,Green,Aviators,,,Mullet (Orange),Carrot,Bone,Diamond Studs,Mouth Open (Right),Swamp,Electric Carrots,Bob
Male,Candy Floss,Green (Dilated),Shutter Glasses,Voxel Rabbit Singlet,Bowtie (Red),Mullet (Base),,Bone,,Smile,Beach,Space Fluffle,Bob
Male,Tiger,Green,Speed Glasses,,Dog Tags,Conical Hat,Cigar,Steel Stud,,Mouth Open (Right),Pass,Space Fluffle,Groove
Male,Grey,Green,Speed Glasses,Digital Camo Singlet,Collar (Black),,,Bull Ring,Steel Rings & Studs,Sad,Markets,Floating or Flying,Round
Male,Sky,Green,Sunglasses,,,Halo,Lip Piercings,,Diamond Cross Earring,Smile,Swamp,What the FLUF,Groove
Male,Highlighter,Yellow,Shutter Glasses,Digital Camo Singlet,Collar (Black),Conical Hat,,,Steel Rings,Blank,Dunes,Desert Digging,Bob
Male,Tie Dye,Blue,Dive Goggles,,Bowtie (Red),,Party Horn,,Gold Rings & Studs,Anger,Dancing in the Shroomlight,L.O.V.E.,Subtle Nod
Male,Winter,Green,Speed Glasses,,Bowtie (Red),,Joint,,Gold Rings,Mouth Open (Right),FLUF Haus Miami 2021,FLUF Ocean,Side Nod
Male,Black & White,Red (Dilated),,,Dog Tags,,Lip Piercings,Gold Stud,,Smile,Swamp,Back in the Burrow,Bob
Male,Highlighter,Brown,Aviators,,Gold Chain,Mohawk (Base),Pipe,,,Mouth Open (Right) + Wink,Pass,Hop On By,Side Nod
Male,Orange,Blue,Sunglasses,Sign My Carrot Singlet,Bowtie (Red),Devil Horns,Carrot,,,Mouth Open (Right) + Wink,Heaven,What the FLUF,Subtle Nod
Female,Darkness,Hypnotic,,,Bone Necklace,Tuft (Blonde),Joint,,,Mouth Open (Right) + Wink,Gallery,Disco Rabbit,Round
Male,Hawk,Brown,Sunglasses,Red Balloon Singlet,VIP lanyard,,Joint,,,Mouth Open (Right),Beach,Desert Digging,Bob
Male,Pheonix,Brown,Deal With It Glasses,High Vis Vest,,Conical Hat,Cigarette,Gold Ring,Steel Rings,Mouth Open (Right),Beach,Back in the Burrow,Round
Male,Guernica,Brown,Aviators,,Bowtie (Gold),Beanie,Cigarette,Steel Stud,Gold Bows,Mouth Open (Right),Mansion,Ear Wobbler,Big Nod
Male,Red,Thirties,,Flannel Jacket,Bowtie (Gold),Birthday Hat,Pipe,Bone,,Mouth Open (Right),Heaven,Floating or Flying,Bob
Male,Grey,Purple,,,Tie,,Pipe,Steel Stud,Steel Rings,Mouth Open (Right),Tiki,Disco Rabbit,Groove
Male,Moody Blue,Green,Bug Eye Glasses,Flannel Jacket,Bowtie (Black),Beanie,Pipe,Steel Stud,Gold Rings,Mouth Open (Right),Dunes,Hop With Me,Side Nod
Male,Smoothie,Brown,,,Bowtie (Red),,Cigar,Clown Nose,Bit Ear,Mouth Open (Right),After Party,NFT (Instrumental),Side Nod
Male,Peppermint,Reptile (Yellow),Star Glasses,Digital Camo Singlet,,,Cigarette,,Red Ribbon,Mouth Open (Right),Heaven,Beyond the Gates,Subtle Nod
Male,Grey,Glowing Red,Aviators,Voxel Rabbit Singlet,,Beanie,,Bone,,Blank,Spaceship,I Like to Party,Groove
Male,Black & White,Cat (Blue),,Dress,,Crown,Whistle,Steel Stud,,Mouth Open (Middle) + Wink,Dunes,Back in the Burrow,Round
Male,Brown,Heart (Blue),,Pink Jacket,Bowtie (Gold),Afro (Base),,Clown Nose,,Blank,Lambo,Follow You,Groove
Female,Winter,Heart (Blue),,,Bowtie (Red),Tuft (Base),Lollipop,Bone,FLUF Tag,Anger,Backalley,Floating or Flying,Bob
Male,Ice Cream,Red,Shutter Glasses,Puffer Jacket,Bowtie (Gold),,Joint,Bull Ring,Red Ribbon,Mouth Open (Right) + Wink,Markets,Follow You,Groove
Female,Winter,Blue,Speed Glasses,Leather Vest,,Birthday Hat,Pacifier,Gold Stud,,Mouth Open (Middle),Mansion,Reggae Rabbits,Subtle Nod
Male,Grey,Blue,Heart Glasses,Gold Jacket,Peace Necklace,Tuft (Base),,Bloody,Red Ribbon,Blank,Mansion,I Like to Party,Round
Female,Retro,Blue,,Flannel Jacket,VIP lanyard,Gold Cap,,Steel Stud,Gold Rings,Blank,Mansion,NFT (Instrumental),Round
Male,Grey,Green,,,Collar (Pink),,Joint,Bone,Steel Studs,Mouth Open (Right) + Wink,Beach,Coffee and Carrots,Round
Male,Barney,Reptile (Yellow),Shutter Glasses,,Clock Necklace,,Party Horn,,,Anger,Dancing in the Shroomlight,Stardust,Big Nod
Male,Cheetah,Green (Dilated),Shutter Glasses,Kimono,Headphones,Beanie,,,Steel Rings,Blank,After Party,Messiah,Side To Side
Male,Darkness,Demon,Aviators,Camo Jacket,Bowtie (Red),,Pipe,Clown Nose,FLUF Tag,Mouth Open (Right),Dunes,Reggae Rabbits,Groove
Male,Highlighter,Reptile (Yellow),Star Glasses,,,,Lollipop,Clown Nose,Steel Studs,Mouth Open (Left),Spaceship,Desert Digging,Side To Side
Male,Peppermint,Blue,Sunglasses,,Dog Tags,Army Helmet,Cigarette,,Steel Rings,Mouth Open (Right),Pass,Floating or Flying,Side Nod
Male,Sandy,Blue,Aviators,,Tie,,Carrot,,Gold Rings & Studs,Mouth Open (Right),Heaven,Reggae Rabbits,Round
Male,Peppermint,Reptile (White),,Puffer Vest,Bowtie (Gold),,Party Horn,Steel Ring,Bandaged,Mouth Open (Left),After Party,Floating or Flying,Round
Male,Raspberry Ripple,Glowing Red,,,Headphones,Afro (Base),Lollipop,,,Mouth Open (Left),Studio,Hop On By,Round
Male,Black & White,Thirties,,Leather Vest,Bowtie (Gold),Gold Cap,Party Horn,Bloody,Steel Rings,Anger,Backalley,Space Fluffle,Side Nod
Male,Moody Blue,Blue,,,,Devil Horns,Joint,Clown Nose,FLUF Tag,Mouth Open (Right),Heaven,I Like to Party,Subtle Nod
Male,Zebra,Green (Dilated),,Kimono,Bone Necklace,,Lollipop,,Gold Bows,Mouth Open (Left) + Wink,After Party,Ear Wobbler,Groove
Male,Grey,Brown,Heart Glasses,High Vis Vest,Bowtie (Black),Tuft (Black),Carrot,Gold Stud,Steel Rings & Studs,Mouth Open (Right),Garden,Ear Wobbler,Round
Male,Winter,Fire,Shutter Glasses,,Dog Tags,Mohawk (Red),Joint,Gold Stud,,Mouth Open (Right),Beach,Eating Carrots in the Dark,Big Nod
Male,Bully,Portal,,Puffer Jacket,VIP lanyard,,,,Red Ribbon,Blank,Mansion,Disco Rabbit,Round
Female,Peppermint,Green (Dilated),,Digital Camo Singlet,,Tuft (Black),Cigarette,Steel Stud,,Mouth Open (Right),Swamp,Follow You,Big Nod
Male,Camo,Blue,Dive Goggles,Flannel Jacket,Bowtie (Black),,Cigar,Gold Ring,,Mouth Open (Right) + Wink,Tiki,Beyond the Gates,Subtle Nod
Male,Candy Floss,Blue,Aviators,,,Flower Crown,,Steel Stud,FLUF Tag,Blank,Mystic Valley,Stardust,Big Nod
Male,Sandy,Blue,Bug Eye Glasses,Puffer Vest,Greenstone,Mullet (Black),Cigarette,Bone,,Mouth Open (Right),Markets,Space Fluffle,Side To Side
Male,Black & White,Brown,,Camo Jacket,,Bandana,,Bone,,Blank,Fluf Haus LA 2022,Back in the Burrow,Side To Side
Male,Sky,Thirties,,Boob Tube,Bowtie (Gold),,Lollipop,Bone,,Mouth Open (Left),After Party,Beyond the Gates,Bob
Female,Winter,Yellow,Fake Eyelashes,White Singlet,,,,,Red Ribbon,Wonder,Fluf Haus LA 2022,Coffee and Carrots,Bob
Female,Red,Green,,,Headphones,Army Helmet,,Bull Ring,FLUF Tag,Blank,Mansion,Coffee and Carrots,Side To Side
Male,Marshmellow,Red,,FLUF Jacket,Bone Necklace,Flower Crown,Pipe,,,Mouth Open (Right),Markets,FLUF You Up,Side To Side
Male,Tiger,Brown,Speed Glasses,,,Birthday Hat,Pipe,Steel Stud,Gold Rings,Mouth Open (Right) + Wink,Swamp,Hop On By,Round
Female,Winter,Cat (Blue),,Red Balloon Singlet,,Mullet (Orange),Joint,Gold Stud,Gold Bows,Mouth Open (Right) + Wink,Garden,Electric Carrots,Bob
Male,Grey,Blue,Round Glasses,Leather Vest,,Flower Crown,Joint,Diamond Stud,Steel Studs,Mouth Open (Right),Dunes,Desert Digging,Bob
Male,Cheetah,Glowing White,,,Bone Necklace,Birthday Hat,Joint,Steel Stud,Gold Bows,Mouth Open (Right),Mansion,I Like to Party,Bob
Female,Sandy,Reptile (Cream),Fake Eyelashes,,Lei,,Joint,,FLUF Tag,Mouth Open (Right),Spaceship,Dubhop,Big Nod
Male,Winter,Yellow,,Camo Jacket,,Afro (Black),Cigar,,Gold Rings & Studs,Mouth Open (Right),Lambo,Space Fluffle,Big Nod
Male,Darkness,Demon,Aviators,Leather Vest,Bowtie (Red),Bandana,,Steel Stud,Gold Rings,Blank,Heaven,Floating or Flying,Groove
Male,Smoothie,Green,Steampunk Goggles,Kimono,Bowtie (Black),Mohawk (Black),Lollipop,Steel Stud,Gold Bows,Mouth Open (Left),Gallery,FLUF You Up,Bob
Male,Black & White,Scribble,,Boob Tube,Collar (Black),Cowboy Hat,,,Steel Rings,Blank,Gallery,Run Rabbit,Bob
Female,Highlighter,Green (Dilated),,,Bowtie (Red),Afro (Black),Cigarette,,Gold Studs,Mouth Open (Right),Pass,Desert Digging,Round
Female,Brown,Green,Sunglasses,Dress,Lei,Mullet (Orange),,Steel Ring,Diamond Studs,Blank,Thank You For Having Us,FLUF You Up,Bob
Male,Black & White,Heart (Red),,Kimono,Dog Tags,FLUF Cap,Tongue Out,Steel Stud,,Smile + Wink,The Front,Eating Carrots in the Dark,Big Nod
Male,Raspberry Ripple,Blue,Dive Goggles,Tie Dye Singlet,,,Pipe,Bone,,Mouth Open (Right),Pass,Coffee and Carrots,Side To Side
Male,Sandy,Yellow,,Voxel Rabbit Singlet,,,Tongue Out,,Steel Studs,Grin,Beach,Beyond the Gates,Big Nod
Male,Sandy,Green,Safety Glasses,Kimono,,Afro (Ginger),Pipe,Steel Stud,Steel Rings,Mouth Open (Right),Swamp,Follow You,Side Nod
Female,Orange,Xs,,Camo Jacket,,Tennis Hat,Lollipop,Steel Ring,Gold Rings,Mouth Open (Left),Backalley,Floating or Flying,Groove
Female,Blue Blood,Blue,Speed Glasses,Kimono,,Cowboy Hat,,Diamond Stud,,Smile,Lambo,Floating or Flying,Big Nod
Male,Ice Cream,Blue,Heart Glasses,Holographic Jacket,,,Carrot,Steel Ring,Gold Bows,Mouth Open (Right),Mansion,Messiah,Subtle Nod
Male,Cheetah,Yellow,,Leather Vest,Bone Necklace,,Carrot,,,Mouth Open (Right),Tiki,Electric Carrots,Big Nod
Female,Zombie (Green),Inverted,,,Headphones,Sun Visor,Carrot,Bull Ring,Gold Rings,Mouth Open (Right) + Wink,Garden,Run Rabbit,Bob
Male,Darkness,Demon,Heart Glasses,Kimono,,Mohawk (Black),Cigarette,Steel Ring,,Mouth Open (Right),Garden,What the FLUF,Side Nod
Male,Parrot,Yellow,,Kimono,Gold Chain,Tuft (Blonde),Cigar,Gold Ring,,Mouth Open (Right),Gallery,Desert Digging,Round
Female,Sandy,Red (Dilated),,High Vis Vest,,,Cigarette,Diamond Stud,Red Ribbon,Mouth Open (Right),Spaceship,Back in the Burrow,Side To Side
Female,Sandy,Cat (Brown),,,Gold Chain,Tuft (Base),Joint,,,Mouth Open (Right),Backalley,Coffee and Carrots,Side Nod
Female,Cow,Blue,Bug Eye Glasses,,,,,,Santa Hat,Blank,Thank You For Having Us,I Love FLUF,Round
Male,Tiger,Brown,,,Lei,Beanie,Lollipop,,,Mouth Open (Left),Pass,FLUF You Up,Big Nod
Male,Tiger,Blue,Round Glasses,Kimono,Bowtie (Black),Mohawk (Base),Pipe,Steel Ring,,Mouth Open (Right),Pass,Coffee and Carrots,Subtle Nod
Male,Camo,Green,Round Glasses,,,Tuft (Base),Pipe,Steel Stud,,Mouth Open (Right),Tiki,Desert Digging,Groove
Female,Guernica,Blue,Deal With It Glasses,Pink Jacket,Bowtie (Black),Crown,,Clown Nose,Steel Rings,Smile,Backalley,Desert Digging,Groove
Male,Peppermint,Blast,,,Bowtie (Red),,Pipe,Steel Ring,Gold Bows,Mouth Open (Right),Tiki,Reggae Rabbits,Groove
Male,Winter,Blue,Sunglasses,FLUF Jacket,Lei,Afro (Ginger),Carrot,Bull Ring,,Mouth Open (Right),Swamp,Reggae Rabbits,Side To Side
Male,Grey,Green,Designer Glasses,High Vis Vest,,Mohawk (Red),Whistle,Diamond Stud,Steel Studs,Mouth Open (Middle) + Wink,Gallery,I Like to Party,Subtle Nod
Male,Winter,Reptile (White),Shutter Glasses,Tie Dye Singlet,,Cowboy Hat,,Clown Nose,,Blank + Wink,Mansion,Eating Carrots in the Dark,Side To Side
Male,Parrot,Green,,Camo Jacket,Bowtie (Gold),Pirate Hat,Carrot,Steel Ring,,Mouth Open (Right),Dunes,Eating Carrots in the Dark,Side Nod
Male,Red,Brown,Aviators,Voxel Rabbit Singlet,Headphones,,,,Bit Ear,Anger,Beach,Dubhop,Round
Male,Darkness,Inverted (Purple),,,Collar (Pink),Holographic Cap,,Bull Ring,,Blank,Pass,Reggae Rabbits,Groove
Male,Black & White,Xs,,Voxel Rabbit Singlet,FLUF Logo Chain,,Joint,Bloody,Steel Studs,Mouth Open (Right),Swamp,Ear Wobbler,Big Nod
Male,Black & White,Green,Bug Eye Glasses,Kimono,,,Cigarette,Steel Stud,Red Ribbon,Mouth Open (Right),Markets,Electric Carrots,Side To Side
Male,Grey,Red,Designer Glasses,,,Mohawk (Red),,Gold Stud,Steel Rings & Studs,Blank,Backalley,Hop With Me,Groove
Male,Zebra,Red,,Flannel Jacket,Peace Necklace,,Whistle,,Red Ribbon,Mouth Open (Middle),Tiki,What the FLUF,Side To Side
Female,Winter,Green,Neon Glasses,Flannel Jacket,Dog Tags,,Carrot,,,Mouth Open (Right) + Wink,Tiki,Floating or Flying,Round
Male,Cow,Glowing White,,Flannel Jacket,,FLUF Cap,Pacifier,Steel Ring,,Mouth Open (Middle),Heaven,FLUF You Up,Subtle Nod
Male,Darkness,Heart (Red),,Boob Tube,,Halo,,Steel Ring,Gold Studs,Grin,Swamp,Follow You,Groove
Female,Ice Cream,Cat (Blue),Shutter Glasses,Dress,Collar (Pink),Birthday Hat,,Steel Ring,Gold Bows,Blank,Heaven,Shadows,Subtle Nod
Male,Parrot,Heart (Red),,Boob Tube,Collar (Pink),Mohawk (Base),Cigarette,,Gold Rings,Mouth Open (Right),Star Explorer,FLUF Ocean,Subtle Nod
Male,Raspberry Ripple,Green (Dilated),,Yellow Rabbit Singlet,,Devil Horns,Lollipop,Gold Ring,,Mouth Open (Left),Markets,Hop On By,Groove
